Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
02a222213fdfa2ee8d9b8b15851440ffc6643dbdceb4e9e6906a909979459095,2019-11,City of London Police,City of London Police,-0.092517,51.520580,On or near WHITECROSS STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
66e439dc5abea18c6abf646ff4f5750f9fe6e0a349058a659a4f58f84146368c,2019-11,City of London Police,City of London Police,-0.082058,51.509466,On or near CROSS LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
1a137b54681edbdea4569c63c295f701a639f260dcfccad04bea6dc865ad8769,2019-11,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Investigation complete; no suspect identified
b8ca515257953e12b0d379eaebfaf717af4b74fa4eddc464febca9ffffd690fd,2019-11,City of London Police,City of London Police,-0.091494,51.510924,On or near COLLEGE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
74467b8d6bbafb9c08b69aa68944a11bb52e0a2ee8d6a7f44e19fd6245e6c1de,2019-11,City of London Police,City of London Police,-0.091732,51.521080,On or near Nightclub,E01002704,Islington 023D,Investigation complete; no suspect identified
f9375fffe81a9a1e1f7af3d65645d6ae63edb216e2d185d39e1c4117ac22835a,2019-11,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
f5c1c94a2f22a424f0a9f7b9cb4e3728ab1367845e0e67e5065845edcc33a6ab,2019-11,City of London Police,City of London Police,-0.084251,51.520059,On or near SUN STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
6796a3fb34a2beaaf85fcd9c30c422efcd7f0b4dd269bc076a0ca27078fe9b18,2019-11,City of London Police,City of London Police,-0.108018,51.511749,On or near TEMPLE AVENUE,E01032740,City of London 001G,Investigation complete; no suspect identified
a12a7df1532c26fed1d5cb076f075afc40e463cefc2beb9214db2076e6a6b14b,2019-11,City of London Police,City of London Police,-0.076031,51.509547,On or near TOWER HILL,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
998ee305b09f336a16ef469dbc92978fe2cdc082b76a8bfe937f4431717a3a12,2019-11,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Investigation complete; no suspect identified
0fc33406677bb7a3bb353d247bbb668cb3ba57c4e91e3fd998885dfd618f051b,2019-11,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
ae27c8534d8fecbd0c369603926226822b443beaf582796363ea87a77ea51080,2019-11,City of London Police,City of London Police,-0.089582,51.511495,On or near CANNON STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
cc84605db64587b63814724a04d8e58a38aa059f9042315afaad5bc5ed4f9f7f,2019-11,City of London Police,City of London Police,-0.082458,51.517431,On or near LIVERPOOL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
11965ed187c29d6f086d897d5c04a1de846f7e3556dc9e4ff0f680b1745ee6be,2019-11,City of London Police,City of London Police,-0.084701,51.509320,On or near LOWER THAMES STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
2698fe8aa111c860523548e2c93844c03b95455da1e533a6cf372eca92b42a35,2019-11,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
7a2881d589bb9ffc612a6abe9bb5038e98f8cf848e817863d1ad21a0b8f78a6c,2019-11,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d2957c88ec6ac9fa8629d322dc175ed6148844318bc728251e1f71a940dfdc83,2019-11,City of London Police,City of London Police,-0.084095,51.516900,On or near NEW BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
29dfb14a422ac383287999323ff96cd82185d04fdc8069958bac3db7892ea802,2019-11,City of London Police,City of London Police,-0.077224,51.516122,On or near Shopping Area,E01000005,City of London 001E,Investigation complete; no suspect identified
5aaea5d8adcc9694c4242b41a62df1d12c72cd06dae714caf37e349295b45cfe,2019-11,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
da264451d4866a4e0e60720d59f59d3c0032b9a0e55791a4a7c221ccb7e918b3,2019-11,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
535f8ccc87532a2c0e2f237100ee3e8c5be7af7dcdf764692e665d76a9342695,2019-11,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
01cc788288de4895d64cd60b064d49017f7f99c323316a4e21d14ad419f36b3d,2019-11,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
124cec708b2b4a735c43fdb9634d96ecc4435466fa184bea19357a47dae303df,2019-11,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Investigation complete; no suspect identified
68d8a0b0b3a14125472c2ed4d82d5fbe50f1b91b7e5e492d9f96bb1c43a3a36b,2019-11,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d8f9f7939081014b082d4481b0e59dc22fe8e2bc045f1d692686f0c31ad997da,2019-11,City of London Police,City of London Police,-0.087760,51.517149,On or near LONDON WALL,E01032739,City of London 001F,Investigation complete; no suspect identified
9d961f3358813748af3e478b3c5371a8b48519cdb2df169a93a0c110c16f4c0d,2019-11,City of London Police,City of London Police,-0.102930,51.518375,On or near WEST SMITHFIELD,E01032740,City of London 001G,Investigation complete; no suspect identified
585c489e4ea8b1c452f065feff2dc17a066172146efa1014e41194872c0ec399,2019-11,City of London Police,City of London Police,-0.085310,51.518511,On or near ELDON STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4c49cf3864f5ad0d059f74eac3585fe8420b5c309ff6f07f3372ce2aefee1514,2019-11,City of London Police,City of London Police,-0.086175,51.510945,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
650f7de0ffd634e7385d7c4ff6b07423bdf70d4fa7a303a93f41a864941fedd4,2019-11,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
